year,mo,dy, hr, Pmean, Pstdv,  n
2016,08,31, 12, 2.695, 0.057, 12
2016,08,31, 13, 2.525, 0.531, 12
2016,08,31, 14, 2.306, 0.486, 12
2016,08,31, 15, 2.312, 0.235, 12
2016,08,31, 16, 1.759, 0.185, 12
2016,08,31, 17, 1.157, 0.244, 12
2016,08,31, 18, 0.407, 0.204, 12
2016,08,31, 19, 0.029, 0.022,  9
2016,09,01, 06, 0.051, 0.036,  4
2016,09,01, 07, 0.191, 0.114, 12
2016,09,01, 08, 0.691, 0.230, 12
2016,09,01, 09, 1.523, 0.234, 12
2016,09,01, 10, 1.353, 0.579, 12
2016,09,01, 11, 2.236, 0.382, 12
2016,09,01, 12, 1.437, 1.045, 12
2016,09,01, 13, 2.311, 0.672, 12
2016,09,01, 14, 2.450, 0.403, 12
2016,09,01, 15, 2.369, 0.219, 12
2016,09,01, 16, 1.513, 0.682, 12
2016,09,01, 17, 1.035, 0.250, 12
2016,09,01, 18, 0.412, 0.182, 12
2016,09,01, 19, 0.067, 0.054, 11
2016,09,02, 06, 0.040, 0.018,  3
2016,09,02, 07, 0.180, 0.060, 12
2016,09,02, 08, 0.600, 0.320, 12
2016,09,02, 09, 1.607, 0.277, 12
2016,09,02, 10, 2.318, 0.143, 12
2016,09,02, 11, 2.228, 0.502, 12
2016,09,02, 12, 2.505, 0.273, 12
2016,09,02, 13, 2.339, 0.584, 12
2016,09,02, 14, 2.259, 0.380, 12
2016,09,02, 15, 0.734, 0.321, 12
2016,09,02, 16, 0.407, 0.033, 12
2016,09,02, 17, 0.375, 0.238, 12
2016,09,02, 18, 0.108, 0.020, 12
2016,09,02, 19, 0.035, 0.020,  9
2016,09,03, 07, 0.047, 0.026, 10
2016,09,03, 08, 0.224, 0.104, 12
2016,09,03, 09, 0.693, 0.236, 12
2016,09,03, 10, 1.295, 0.381, 12
2016,09,03, 11, 1.625, 0.452, 12
2016,09,03, 12, 1.231, 0.781, 12
2016,09,03, 13, 2.081, 0.656, 12
2016,09,03, 14, 1.888, 0.703, 12
2016,09,03, 15, 1.437, 0.612, 12
2016,09,03, 16, 1.010, 0.378, 12
2016,09,03, 17, 0.783, 0.486, 12
2016,09,03, 18, 0.270, 0.070, 12
2016,09,03, 19, 0.065, 0.044,  8
2016,09,04, 07, 0.045, 0.032,  4
2016,09,04, 08, 0.147, 0.118, 12
2016,09,04, 09, 0.365, 0.154, 12
2016,09,04, 10, 0.694, 0.503, 12
2016,09,04, 11, 2.243, 0.914, 12
2016,09,04, 12, 2.093, 0.680, 12
2016,09,04, 13, 1.862, 0.557, 12
2016,09,04, 14, 0.758, 0.432, 12
2016,09,04, 15, 0.721, 0.581, 12
2016,09,04, 16, 0.429, 0.370, 12
2016,09,04, 17, 0.478, 0.358, 12
2016,09,04, 18, 0.144, 0.057, 12
2016,09,04, 19, 0.030, 0.025,  2
2016,09,05, 06, 0.018, 0.008,  2
2016,09,05, 07, 0.137, 0.088, 12
2016,09,05, 08, 0.840, 0.249, 12
2016,09,05, 09, 0.963, 0.343, 12
2016,09,05, 10, 0.821, 0.142, 12
2016,09,05, 11, 0.825, 0.120, 12
2016,09,05, 12, 1.675, 0.585, 12
2016,09,05, 13, 1.620, 0.454, 12
2016,09,05, 14, 2.138, 0.748, 12
2016,09,05, 15, 1.819, 0.636, 12
2016,09,05, 16, 1.482, 0.389, 12
2016,09,05, 17, 1.007, 0.267, 12
2016,09,05, 18, 0.554, 0.180, 12
2016,09,05, 19, 0.091, 0.070, 10
2016,09,06, 06, 0.018, 0.008,  2
2016,09,06, 07, 0.175, 0.118, 12
2016,09,06, 08, 0.774, 0.227, 12
2016,09,06, 09, 1.517, 0.209, 12
2016,09,06, 10, 2.086, 0.163, 12
2016,09,06, 11, 2.526, 0.100, 12
2016,09,06, 12, 2.561, 0.285, 12
2016,09,06, 13, 2.283, 0.569, 12
2016,09,06, 14, 2.218, 0.567, 12
2016,09,06, 15, 2.116, 0.378, 12
2016,09,06, 16, 1.701, 0.198, 12
2016,09,06, 17, 0.995, 0.287, 12
2016,09,06, 18, 0.329, 0.142, 12
2016,09,06, 19, 0.068, 0.037,  8
2016,09,07, 06, 0.012, 0.000,  1
2016,09,07, 07, 0.167, 0.142, 12
2016,09,07, 08, 0.852, 0.238, 12
2016,09,07, 09, 1.550, 0.209, 12
2016,09,07, 10, 2.145, 0.143, 12
2016,09,07, 11, 2.496, 0.079, 12
2016,09,07, 12, 2.687, 0.042, 12
2016,09,07, 13, 2.712, 0.034, 12
2016,09,07, 14, 2.581, 0.065, 12
2016,09,07, 15, 2.308, 0.111, 12
2016,09,07, 16, 1.794, 0.181, 12
2016,09,07, 17, 1.117, 0.227, 12
2016,09,07, 18, 0.392, 0.215, 12
2016,09,07, 19, 0.043, 0.022,  7
2016,09,08, 06, 0.012, 0.000,  1
2016,09,08, 07, 0.179, 0.128, 12
2016,09,08, 08, 0.807, 0.229, 12
2016,09,08, 09, 1.559, 0.206, 12
2016,09,08, 10, 2.124, 0.141, 12
2016,09,08, 11, 2.492, 0.082, 12
2016,09,08, 12, 2.647, 0.033, 12
2016,09,08, 13, 2.680, 0.033, 12
2016,09,08, 14, 2.527, 0.082, 12
2016,09,08, 15, 2.171, 0.151, 12
2016,09,08, 16, 1.607, 0.218, 12
2016,09,08, 17, 0.877, 0.242, 12
2016,09,08, 18, 0.295, 0.132, 12
2016,09,08, 19, 0.050, 0.029,  7
2016,09,09, 07, 0.159, 0.123, 12
2016,09,09, 08, 0.449, 0.069, 12
2016,09,09, 09, 0.683, 0.118, 12
2016,09,09, 10, 0.984, 0.112, 12
2016,09,09, 11, 1.860, 0.852, 12
2016,09,09, 12, 2.290, 0.580, 12
2016,09,09, 13, 2.194, 0.652, 12
2016,09,09, 14, 2.336, 0.510, 12
2016,09,09, 15, 2.196, 0.148, 12
2016,09,09, 16, 1.706, 0.170, 12
2016,09,09, 17, 1.048, 0.217, 12
2016,09,09, 18, 0.349, 0.188, 12
2016,09,09, 19, 0.041, 0.025,  7
2016,09,10, 06, 0.012, 0.000,  1
2016,09,10, 07, 0.174, 0.131, 12
2016,09,10, 08, 0.840, 0.246, 12
2016,09,10, 09, 1.257, 0.158,  4
2016,09,10, 11, 2.503, 0.216, 11
2016,09,10, 12, 2.715, 0.031, 12
2016,09,10, 13, 2.765, 0.025, 12
2016,09,10, 14, 2.501, 0.198, 12
2016,09,10, 15, 2.029, 0.210, 12
2016,09,10, 16, 1.437, 0.314, 12
2016,09,10, 17, 0.892, 0.254, 12
2016,09,10, 18, 0.290, 0.220, 12
2016,09,10, 19, 0.031, 0.011,  5
2016,09,11, 07, 0.048, 0.026,  4
2016,09,11, 08, 0.136, 0.042, 12
2016,09,11, 09, 0.174, 0.052, 12
2016,09,11, 10, 0.355, 0.146, 12
2016,09,11, 11, 0.403, 0.080, 12
2016,09,11, 12, 0.575, 0.148, 12
2016,09,11, 13, 0.660, 0.232, 12
2016,09,11, 14, 1.407, 0.677, 12
2016,09,11, 15, 0.933, 0.334, 12
2016,09,11, 16, 0.633, 0.205, 12
2016,09,11, 17, 0.266, 0.148, 12
2016,09,11, 18, 0.035, 0.018, 12
